Date,Flow_Rate,Precipitation
1/01/2014 0:00,216.2607075,0
1/01/2014 1:00,220.4184749,0
1/01/2014 2:00,226.2752568,0
1/01/2014 3:00,225.4963288,0
1/01/2014 4:00,223.9018343,0
1/01/2014 5:00,221.3963585,0
1/01/2014 6:00,220.7663729,1.331170322
1/01/2014 7:00,213.2502945,0
1/01/2014 8:00,211.5542747,0
1/01/2014 9:00,210.7978691,0
1/01/2014 10:00,209.151071,0
1/01/2014 11:00,208.9367635,0
1/01/2014 12:00,212.8606085,0
1/01/2014 13:00,216.0170426,0.955027412
1/01/2014 14:00,220.0253688,0.573731668
1/01/2014 15:00,219.367113,0
1/01/2014 16:00,218.8903791,0
1/01/2014 17:00,224.6880979,0
1/01/2014 18:00,229.5673758,0
1/01/2014 19:00,234.4768925,0
1/01/2014 20:00,242.5901368,0
1/01/2014 21:00,245.7702588,0
1/01/2014 22:00,248.1817929,0
1/01/2014 23:00,252.4672312,0
2/01/2014 0:00,267.5299105,0
2/01/2014 1:00,278.7066192,0
2/01/2014 2:00,287.4431348,0
2/01/2014 3:00,294.387964,0
2/01/2014 4:00,299.7663453,4.675717559
2/01/2014 5:00,300.9553799,4.917298909
2/01/2014 6:00,298.9784008,2.939178376
2/01/2014 7:00,298.4666974,0.898135419
2/01/2014 8:00,289.4675815,3.48189543
2/01/2014 9:00,283.6676299,2.918101149
2/01/2014 10:00,287.3694445,1.16819283
2/01/2014 11:00,285.295609,2.33638566
2/01/2014 12:00,289.3854878,0
2/01/2014 13:00,287.3125671,0
2/01/2014 14:00,288.67034,0
2/01/2014 15:00,286.0074567,0
2/01/2014 16:00,293.291099,1.713656122
2/01/2014 17:00,301.302346,1.20189623
2/01/2014 18:00,311.2093472,1.585375983
2/01/2014 19:00,332.1731263,2.325953217
2/01/2014 20:00,343.1669683,0.801696093
2/01/2014 21:00,366.266292,0
2/01/2014 22:00,398.633227,7.042099256
2/01/2014 23:00,412.8951148,3.808855079
3/01/2014 0:00,412.099733,7.509894669
3/01/2014 1:00,420.7675259,8.208792657
3/01/2014 2:00,411.5053295,5.319392774
3/01/2014 3:00,433.0055791,2.589428332
3/01/2014 4:00,443.3111268,1.149181859
3/01/2014 5:00,451.3479231,0.188824008
3/01/2014 6:00,452.9906782,2.866043942
3/01/2014 7:00,453.9483487,0
3/01/2014 8:00,483.1875158,0.526850577
3/01/2014 9:00,523.0642141,5.027650855
3/01/2014 10:00,680.2356994,6.370327435
3/01/2014 11:00,1105.639708,1.864131191
3/01/2014 12:00,1533.532687,3.586885054
3/01/2014 13:00,1695.349333,0
3/01/2014 14:00,1667.012294,0
3/01/2014 15:00,1510.596987,0
3/01/2014 16:00,1344.809019,1.800863887
3/01/2014 17:00,1258.236038,2.242031042
3/01/2014 18:00,1186.959004,1.121015521
3/01/2014 19:00,1143.393385,0
3/01/2014 20:00,1114.987886,0
3/01/2014 21:00,1082.828713,0
3/01/2014 22:00,1015.592546,0
3/01/2014 23:00,1001.710703,0
4/01/2014 0:00,945.3741688,0
4/01/2014 1:00,932.8842111,0
4/01/2014 2:00,885.4174376,0
4/01/2014 3:00,847.4092683,0
4/01/2014 4:00,814.6212952,0
4/01/2014 5:00,777.452527,0
